Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session,Family Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,WAP 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racer,WUFR 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,Misfit Toys Autocross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,All Data Collected from 10/28/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Saturday, October 28, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,3:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,03:30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,External Voltage,Channel01,Channel02,Channel03,Channel04,Channel05,Channel06,Channel07,Channel08,Luminosity,LoggerTemp,Battery Real,RXAccel,RYAccel,RXGyro,RZAccel,RYGyro,RZGyro,RTemp,RRShockPot,RAnlg2,RBrkPrs,RLShockPot,RAnlg5,RAnlg6,FRXAccel,FRYAccel,FRXGyro,FRZAccel,FRYGyro,FRZGyro,FRTemp,RadIn1,RadIn2,RadOut,FRAnlg4,Pitot,SteeringPot,FLXAccel,FLYAccel,FLXGyro,FLZAccel,FLTemp,FLYGyro,FLZGyro,FLShockPot,FLAnlg2,FRShockPot,FBrkPrs,FLAnlg5,FLAnlg6,DRS,ClutchPosition,IgnitionCompAirT,IgnitionCompMAP,IgnitionCompCool,IgnitionCompBaro,EngineSpeed,ThrottlePosition,FuelOpenTime,IgnitionAngle,Barometer,MAP,Lambda,PressureType,AnalogInput1,FuelPressure,OilPressure,Gear Position,O2Cond,AnalogInput6,AnalogInput7,AnalogInput8,Frequency1,Frequency2,Frequency3,Frequency4,BatteryVolt,AirTemp,CoolantTemp,TempType,AnalogInput5Ther,OilTemperature,VersionMajor,VersionMinor,VersionBuild,RPMRate,TPSRate,MAPRate,MAFLoadRate,Lambda1Measured,Lambda2Measured,TargetLambda,PWMDutyCycle1,PWMDutyCycle2,PWMDutyCycle3,PWMDutyCycle4,PWMDutyCycle5,PWMDutyCycle6,PWMDutyCycle7,PWMDutyCycle8,PercentSlip,DrivenWheelRateO,DesiredValue,DrivenAvgWheelSp,IgnitionCutPerce,NonDrivenAvgWhee,IgnitionCompensa,DrivenWheelSpeed,DrivenWheelSp 01,NonDrivenWheelSp,NonDrivenWhee 01,FuelCompAccel,FuelCompStarting,FuelCompCoolantT,FuelCompAirTemp,FuelCompBaromete,FuelCompMAP
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,V,mV,mV,mV,mV,mV,mV,mV,mV,%,°C,V,g,g,#,g,#,#,°C,mm,#,#,mm,#,#,g,g,#,g,#,#,°C,°C,°C,°C,#,#,#,g,g,#,g,°C,#,#,mm,#,mm,#,#,#, ,deg,deg,deg,deg,deg,rpm,%,ms,deg,bar,bar,#, ,mV,bar,bar,gear,#,mV,mV,mV,Hz,Hz,Hz,Hz,V,°C,°C, ,°C,°C,#,#,#,#,#,#,#,#,#,#,%,%,%,%,%,%,%,%,%,#,%,#,%,#,deg,#,#,#,#,%,%,%,%,%,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.15,0,14,0,0,0,0,0,115.2415,0.0029,0.09,10000,38.74671654,-90.50897027,11.2,14,13,13,12,17,9,17,18,119.18,14.5,12.1,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,8051,40.13,69,32.9,69.63,73.94,8,1,0,48.59,-12.4,1,1,3,0,0,0,0,0,0,0,48.4,170.8,0,68,68,3,4,50,9148,-17618,4061,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.29,100,102,100,100,100
117.2,0.0702,14,0,0,0.3861,-88.0599,0,115.2415,0.0029,0.0803,10000,38.74671654,-90.50897027,11.2,14,14,14,12,17,9,19,18,119.51,14.5,12.1,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,8616,45.38,71,34.1,69.63,76.61,8,1,0,48.79,-12.4,1,1,3,0,0,0,0,0,0,0,48.4,170.8,0,68,68,3,4,50,4112,-9420,6425,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.99,100,102,100,100,100
117.25,0.0454,14,0,0,1.5298,16.7882,0,115.2415,0.0029,0.0873,10000,38.74671654,-90.50897027,11.2,14,14,13,12,18,9,19,18,119.84,14.5,12.1,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,7736,47.43,71,33.4,69.63,81.66,8,1,0,48.83,-12.4,1,1,3,0,0,0,0.3,0,0,0,48.4,170.8,0,68,68,3,4,50,-2430,1246,8995,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.17,100,102,100,100,100
117.3,0.4753,14,0,0,3.4089,54.9084,0,115.2448,0.0029,0.08,10000,38.74671658,-90.50897021,11.2,14,14,12,11,18,10,19,18,120.18,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,7268,47.78,69,30.8,69.63,84.47,8,1,0,48.62,-12.4,1,1,3,0,0,0,0.6,0,0,0,48.4,170.8,0,68,68,3,4,50,-6196,1272,8674,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.12,100,102,100,100,100
117.35,1.4692,14,0.004,0.1777,0.4809,41.9488,0,115.2501,0.0029,0.0878,10000,38.74671686,-90.50896998,11.2,14,14,12,10,18,10,19,19,120.51,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,7405,47.98,70,32,69.63,84.77,8,1,0,48.18,-12.4,1,1,3,0,0,0,0.6,0,0,0,48.4,170.8,0,68,68,3,4,50,-9654,116,8031,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.19,100,102,100,100,100
117.4,1.9152,14,0.0025,0.264,-0.3413,41.0304,0,115.243,0.0029,0.0897,10000,38.746717,-90.50896969,11.2,14,15,13,11,18,10,19,19,120.84,14.5,12.2,1.23,-7.1,0,-9.47,0,0,0,5,0,-44,5,0,0,-8.3,-12.82,31,-8.7,64,0,0,147,129.7,126.3,1,0,-174,-3.84,-3.84,1,-3.84,66,79,1,3,0,9,-84,0,0,1,0,0,0,0,0,7941,57.81,79,32.7,69.63,85.65,8,1,0,48.01,-12.4,1,1,3,0,0,0,0.6,0,0,0,48.4,170.8,0,68,68,3,4,50,-10000,0,3572,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2,100,102,100,100,100
